thought,i'd,share,wasn't,harder,it'd,figured,realized,honestly,supposed,easier,random,turns,would've,deep,wouldn't,process,originally,realised,suppose
pop,snap,center,bubble,pops,rocks,wrap,drop,popping,popped,bubbles,burst,culture,blow,bottles,bottle,quiz,lock,soda,champagne
time,back,sp,ahh,pla,alas,,,,,,,,,,,,,,
kitchen,floor,table,roof,room,bathroom,bedroom,counter,carpet,ceiling,furniture,walls,painting,floors,basement,chair,sink,putting,couch,wood
call,year,girl,guy,raped,son,ugly,bet,fat,country,injury,holds,knew,slut,no-one,hands,fighting,disease,bullying,war
leaves,son,derek,passed,who's,honor,named,minutes,death,country,died,serving,born,wife,fallen,hero,dec,news,marine,afghanistan
store,walmart,grocery,shopping,buy,target,stores,bought,wal-mart,shop,liquor,lady,section,buying,line,cart,groceries,dollar,items,mall
win,lose,game,losing,winning,bet,loose,loses,streak,wi,wins,chance,winner,loser,deserved,argument,lakers,everytime,lions,blues
sunday,saturday,morning,afternoon,lazy,monday,evening,mornings,spend,enjoying,rainy,brunch,nights,sundays,mornin,bloody,sunny,noon,superbowl,naps
worse,things,make,bad,happen,situation,suppose,matters,situations,curse,,,,,,,,,,
amazing,fantastic,absolutely,fabulous,brilliant,gorgeous,towers,excellent,spectacular,simply,amazingly,absolutly,incredible,wonderfully,amazin,stunning,fab,superb,shattered,utterly
kind,person,word,loving,act,caring,honest,touch,turn,smile,compliment,listening,power,giving,potential,advice,underestimate,kindness,sharing,helpful
feelin,goin,gettin,workin,bein,makin,missin,havin,doin,lovin,mornin,takin,nothin,lil,tryin,jus,somethin,thinkin,sleepin,wit
it's,official,obvious,isn't,expecting,crazy,wanted,wasn't,yup,guessed,sense,yep,reasons,humor,captain,sarcasm,thrilled,,,
stone,rolling,cold,temple,stepping,stones,kidney,sour,age,disturbed,cast,stoned,nightmare,cover,written,sin,adding,unknown,passing,cracking
west,east,coast,side,kanye,virginia,north,gold,south,heading,key,ham,movement,palm,wing,central,bound,california,valley,upper
drawing,draw,drew,art,picture,board,pictures,ideas,drawn,painting,artist,paint,nancy,photoshop,poster,coloring,blank,pad,inspiration,comic
na,ko,ng,ako,sa,ang,pa,lang,naman,di,wala,sana,hindi,bukas,kaya,pero,yung,ba,talaga,walang
i'm,gonna,miss,nothings,hadn't,nobody's, ='(,,,,,,,,,,,,,
day,great,hope,everyones,everyone's,havin,goodmorning,y'all,continues,fantastic,how's,,,,,,,,,
dead,bin,alive,walking,drop,laden,osama,killed,living,bodies,buried,gorgeous,obama,rising,fred,bury,hiding,rubbish,injured,terrorist
virus,computer,link,open,click,fb,message,warning,video,sending,links,tagged,send,delete,accounts,hacked,messages,spam,viruses,photo
marriage,married,britney,destroy,jesse,idea,larry,james,king,spears,woods,divorce,tiger,straight,possibly,institution,sex,proud,support,agree
:d,,,,,,,,,,,,,,,,,,,
gonna,i'm,happen,nothing's,dunno,someday,it'll,puke,how's,,,,,,,,,,,
respect,give,show,brought,country,england,earned,minutes,fight,deserve,boys,union,group,lives,showing,landed,earn,soldiers,dignity,support
send,mafia,gifts,farmville,wars,gift,requests,sending,request,accept,cafe,games,add,invites,return,neighbors,items,treasure,neighbor,farm
crack,lo,lol,dawn,lmao,wack,butt,heads,ahhh,swear,cracks,cracking,everytime,lame,bet,hahahaha,whore,whip,hahahahaha,bs
van,lisa,vincent,mini,hah,der,dam,amazin,jean,whoa,henry,eric,attempt,heather,anna,accomplish,eddie,horn,guaranteed,creeper
day,great,today,yesterday,helped,wells,,,,,,,,,,,,,,
leaving,tomorrow,morning,packing,leave,florida,excited,trip,weeks,heading,thursday,vacation,airport,leavin,wednesday,cali,chicago,finishing,packed,california
i'd,thought,you'd,didn't,knew,wouldn't,we'd,weren't,they'd,prefer,it'd,meant,hoped,wasn't,he'd,forgotten,she'd,lying,bet,promised
o.o,-.-,>.<,>:,omg,wtf,-_-,d:,o_o,^.^,wth,thingy,>:d,xp,btw,heck,lmfao,gah,dx,dunno
send,email,message,contact,address,interested,info,details,e-mail,information,asap,mail,yahoo,inbox,emails,sending,reply,private,msg,received
wife,husband,kids,bah,wonderful,future,daughter,hubby,honey,darling,girlfriend,asks,wifey,replies,sweetheart,husbands,pregnant,wif,puts,error
woman,man's,length,men,takes,thumb,pass,woman's,entire,side,hold,women,stand,penis,loved,beats,read,faster,balance,human
stronger,makes,kill,doesn't,bit,smarter,harder,faster,older,longer,bigger,flag,wiser,grow,freedom,taller,doesnt,they'll,happier,easier
wait,till,can't,cnt,til,friday,tomorow,wed,nxt,cameron,tommorow,tmrw,wifey,,,,,,,
ali,khan,bin,wan,maria,sara,baba,pakistan,guyz,wif,thnx,specially,nada,md,terrorist,outing,,,,
lol,tho,cool,funny,lo,cuz,kinda,idk,lmao,hella,mad,haha,crazy,smh,chill,dude,def,yea,lil,ima
alex,jasmine,walked,beast,barely,biggest,gosh,lifetime,cus,facing,escaped,:'),jess,smooth,legend,fears,atmosphere,cinderella,sweat,chose
law,order,illegal,laws,legal,arizona,citizen,business,allowed,states,marathon,physics,required,banned,legally,criminal,government,ban,gravity,property
begin,end,kind,begins,endless,beginning,explain,process,madness,lives,festivities,eternity,craziness,prepare,silent,describe,began,reached,begun,imagine
you're,don't,there's,jealous,you'd,saves,bet,vain,life's,tells,clever,sweetie,pretending,tease,heart's,fifteen,impress,somebody's,explaining,blinded
:@,stupid,bloody,grr,grrr,>:,pissed,hates,grrrr,argh,grrrrr,annoyed,grrrrrr,fed,grrrrrrr,ffs,angry,frustrating,urgh,piss
ninja,awesome,natalie,skills,port,sneak,apparently,style,warrior,ftw,pirates,saga,continues,attacked,badass,impressed,pirate,jealous,basically,skill
person,kind,smart,intelligent,beautiful,loving,sweet,funny,caring,personality,extremely,dies,talented,shy,strong,loyal,honest,confident,friendly,sexy
full,moon,surprises,sailor,circle,blown,swing,harvest,belly,wolf,rocket,pocket,drunken,wolves,length,potential,autumn,moonlight,awesomeness,spoon
hannah,montana,becky,hanging,graham,jo,emily,babysitting,heather,emma,gee,drake,mann,alyssa,chloe,lily,miranda,watson,olivia,babysit
 =], =[,hah, =/, =p,passing,def,yayyy,jesse,nicely,suspended,goooood,inform,owns,records,attended,,,,
dam,hate,emo,argh,stupid,>:,fucking,wtf,sucks,freaking,bloody,annoying,dammit,grrrrrr,friggin,-.-,grrrrrrr,grrrrr,jeez,geez
heart,put,broke,rest,stay,stopped,takes,hard,working,hands,pass,beating,prove,loved,golden,arms,eyes,heaven,watched,dearly
tiger,woods,stephen,deer,hunting,buck,doe,equals,season,shot,minus,fry,hunt,wife,wood,steven,hunter,golf,lion,promises
love,miss,soo,guys,sooo,soooo,sooooo,missing,missed,soooooo,soooooooo,sooooooooo,youuu,privilege,,,,,,
times,million,thousand,ten,hundred,miles,years,reasons,ways,thousands,hundreds,suns,billion,dollars,bugs,millions,hugs,fifty,lit,written
beautiful,love,girl,wonderful,loving,daughter,girlfriend,woman,sweet,perfect,amazingly,inside,talented,angel,wife,struggle,concern,loss,persons,absolutly
game,football,tonight,watch,play,basketball,hockey,boys,season,homecoming,volleyball,baseball,intense,pumped,twins,eagles,cheer,stadium,cheering,vikings
lady,gaga,video,telephone,beyonce,romance,monster,poker,nonsense,rihanna,wakes,fantasy,sings,speechless,outfit,fame,cells,monsters,classy,vid
hope,jo,wel,ther,wil,tonite,hopes,tmrw,tommorrow,,,,,,,,,,,
moved,room,house,moving,move,finally,apartment,dorm,roommate,stuff,basement,roommates,upstairs,living,downstairs,internet,settled,roomie,apt,campus
lesson,learned,taught,lessons,driving,test,learnt,teaches,teach,valuable,difference,important,plans,teaching,fortunate,jealous,teacher,experience,toys,piano
evening,afternoon,wonderful,spent,lovely,spending,nice,spend,enjoyed,dinner,relaxing,enjoyable,enjoying,fantastic,catching,husband,fabulous,hubby,company,delightful
wondering,case,lily,allen,po,curious,wonderin,stood,dreaming,jared,anyone's,hiccups,classic,raven,mortal,emergency,annie,active,watson,exception
people,treat,treated,person,respect,deserve,expecting,act,meet,karma,fairly,expect,react,badly,trick,treating,treats,rude,charge,deserves
fool,shame,ignorance,bliss,pity,pure,stupidity,act,ignorant,knowledge,dangerous,fooled,argue,remains,absolute,asks,sincere,peoples,refuse,people's
teach,kids,pumpkin,patch,dora,pumpkins,smashing,that'll,parents,sour,halloween,picking,seeds,jerk,rough,autumn,backpack,snuggie,tricks,attempting
love,gotta,emily,stops,sings,tune,craziness,,,,,,,,,,,,,
im,goin,sayin,doin,somethin,jus,gettin,tryin,cuz,makin,lookin,nothin,startin,thinkin,waitin,takin,movin,outta,comin,sittin
phone,broke,cell,lost,dropped,broken,screen,call,phones,touch,text,texting,contact,charger,works,stolen,fixed,fone,pocket,toilet
saints,cowboys,game,colts,win,won,beat,superbowl,dallas,dat,lets,football,vikings,giants,fans,orleans,eagles,dem,cowboy,saint
jess,cody,jessica,hanging,alyssa,simpson,chilling,zach,lisa,hangin,troy,babysitting,bff,ross,maggie,suite,,,,
screw,screwed,damn,pissed,messed,totally,sucks,freaking,>:,crap,jolly,screwing,schedule,fml,fucked,ruined,completely,argh,badly,effing
minute,loved,born,knew,die,put,children,face,wanted,child,fell,walk,body,choose,hour,miracle,decision,heard,conscious,pregnant
xa,bob,coloring,,,,,,,,,,,,,,,,,
michelle,courtney,hanging,kelsey,amanda,mitchell,mason,austin,mall,alex,kayla,nicole,emily,sarah,lynn,hangin,ashley,heather,cousin,chelsea
xd,matter,doesn't,doesnt,outcome,,,,,,,,,,,,,,,
fun,tons,stuff,lot,loads,lots,ton,hella,sounds,fu,tiring,lastnight,snowboarding,tops,sledding,,,,,
red,bull,lobster,riding,hood,wings,pit,bulls,robin,sox,carpet,wine,ring,cross,horns,detroit,rocks,lipstick,wing,ruby
cry,make,laugh,smile,makes,tears,happened,laughs,shoulder,crying,laughter,cope,,,,,,,,
people,lives,peoples,thier,people's,heads,opinions,wonders,ruin,honest,pathetic,minds,involved,else's,selfish,statuses,syndrome,amazed,houses,jealous
na,ki,ta,er,ar,aj,din,mon,hoy,sob,jay,je,por,te,ai,chai,jai,ke,ja,ek
i'm,surprised,didn't,pretty,disappointed,shocked,impressed,pleased,amazed,wasn't,thrilled,suprised,fact,extremely,honestly,convinced,announce,shouldn't,you'd,constantly
hours,spent,half,hour,minutes,entire,past,wasted,couple,afternoon,literally,total,managed,er,countless,practically,realised,twelve,solid,fixing
listening,music,songs,song,beatles,led,listen,rock,elvis,singing,classic,pop,cd,turned,bands,album,jamming,playlist,listened,rocking
lo,fight,haha,hah,chop,boxing,hahaha,odds,hahah,round,beat,woohoo,ftw,bet,handy,hahahaha,philippines,slap,wins,wooohooo
haha,hah,wow,hahaha,hahah,;),joke,hilarious,kidding,weird,lmao,gosh,tho,umm,woah,jeez,retard,funniest,lik,ummm
sense,makes,make,common,humor,senses,reminding,confusion,someday,sixth,courtesy,agrees,nonsense,accomplishment,lack,logic,rare,FALSE,sarcasm,whatsoever
days,til,counting,left,weeks,vacation,graduation,sleeps,bday,minus,xmas,florida,woohoo,b-day,cali,dayz,countdown,arrives,woohooo,cruise
it's,official,bittersweet,rhyme,dawn,begun,whistle,,,,,,,,,,,,,
wrestling,raw,shawn,match,john,royal,randy,champ,austin,champion,cm,jeff,arena,triple,signing,punk,matches,steve,impact,title
action,brad,chain,reaction,kayla,month,son,shot,prayer,condition,critical,chest,figures,opposite,packed,equal,urgent,request,command,replay
stressed,annoyed,tired,frustrated,extremely,pissed,irritated,feeling,depressed,confused,slightly,upset,grumpy,mood,disappointed,exhausted,worried,angry,max,cranky
ability,character,knowledge,act,one's,power,strength,confidence,habit,lack,courage,wisdom,integrity,intelligence,greater,excellence,passion,faith,kindness,sacrifice
thinks,lo,austin,wonders,powers,ridiculous,overrated,definately,hopes,hilarious,kenny,agrees,magical,combined,pointless,invention,spy,toooo,electricity,practically
TRUE,it's,we've,FALSE,missing,lose,colors,arrives,meaning,statement,act,remain,rumors,colours,tru,showing,settle,waited,mate,relatives
christmas,merry,eve,xmas,santa,carol,x-mas,stole,nightmare,,,,,,,,,,,
scared,dark,knight,death,scare,crap,outta,armor,shining,hiding,tin,scares,retard,scaring,terrified,holding,embarrassed,fallin,admit,prepared
great,good,food,friends,company,lots,evening,dinner,enjoyed,drinks,wonderful,laughs,excellent,conversation,wine,fabulous,bbq,fantastic,picnic,laughter
weekend,great,hope,fantastic,wonderful,enjoyed,holiday,fabulous,enjoy,fab,tgif,hopes,safe,awsome,peeps,relaxed,cheers,buds,,
teeth,wisdom,tooth,dentist,mouth,pulled,braces,brush,pain,root,removed,numb,jaw,surgery,ouch,filling,appointment,bottom,fairy,swollen
time,good,remember,thinks,thing,felt,times,friend,spent,cracked,mess,slightly,filled,quiet,egg,toys,laughter,childhood,agree,reminded
monster,monsters,intended,sarcasm,pun,beast,hunter,scary,flying,mash,created,giant,jam,feast,begun,spaghetti,backyard,ftw,trucks,massive
hope,let's,stays,falls,works,doesn't,enjoys,hopes,turns,snows,helps,leaves,smoothly,lasts,hopeless,cope,sleeps,eats,everythings,
likes,dislikes,thinks,liking,loves,hates,fact,apparently,strongly,haircut,explain,secretly,enjoys,rivers,statuses,agrees,lick,unlike,disagree,specially
peace,mind,quiet,peaceful,calm,silence,soul,ease,buddha,disturb,chaos,enjoying,achieved,understanding,midst,inspired,experience,clear,serenity,success
market,stock,farmers,buy,bought,invest,local,owned,sold,sell,street,produce,fresh,village,owns,boston,exchange,buying,goods,shops
application,job,college,applications,filling,fill,form,online,paperwork,filled,forms,finished,process,scholarship,apply,submitted,resume,visa,app,approved
busy,ahead,keeping,bee,whew,schedule,preparing,errands,insanely,phew,disturb,meetings,keepin,priorities,,,,,,
na,sa,din,ang,ko,tapos,lang,naman,ako,rin,hahaha,yey,sana,bukas,hay,hehehe,ulit,sem,nalang,hehe
yg,aq,bs,tp,lg,ga,jd,ad,dr,ne,ma,org,aj,ja,km,sm,tu,hr,ny,dah
called,thing,richard,found,apparently,texted,invented,hasn't,cops,separate,ship,hasnt,informed,confirm,iii,coincidence,,,,
make,feel,miserable,wondering,grateful,amount,sayin,souls,worthless,charming,happier,carlos,that'll,position,uncomfortable,wonderin,spite,,,
power,rangers,knowledge,peace,underestimate,higher,supply,electricity,mighty,destroy,tools,powerful,absolute,ability,greater,powers,responsibility,lines,trusting,tool
work,ready,home,bed,tomorrow,gotta,tired,ugh,nap,shower,rested,collapse,horribly,,,,,,,
event,events,current,planning,main,activities,unfortunate,series,attend,details,plan,happening,upcoming,attending,invited,reminder,exciting,involved,parties,today's
ride,roller,turns,coaster,derby,emotional,enjoy,twist,flags,experiencing,rides,rode,rid,guaranteed,riding,emotions,unexpected,thrill,drops,kentucky
watchin,chillin,sittin,waitin,relaxin,eatin,wit,tv,drinkin,playin,layin,doin,jus,listenin,havin,nothin,movies,wishin,thinkin,makin
wild,buffalo,wings,free,butterfly,run,oscar,wing,beast,wet,chase,horses,wound,imagination,runnin,ar,appears,crowd,cent,adventures
sky,stars,moon,star,sun,falling,reach,clouds,limit,earth,shine,fly,shoot,land,light,touch,bright,dark,you'll,clear
tonight,night,fun,dinner,party,drinks,karaoke,forward,angela,blast,b-day,pub,girlies,peeps,y'all,poker,casino,babes,hosting,bonfire
called,master,greatest,jesus,history,named,lives,degree,won,conquered,army,crime,teacher,buried,committed,kings,battles,feared,military,medicines
hours,minutes,days,counting,till,seconds,left,minus,mins,til,starts,ten,minute,countdown,untill,lasted,hrs,remaining,thirty,commence
people,care,hear,sick,lets,food,bought,heat,worry,children,adopted,families,shelter,notice,showed,re-post,cure,weren't,invited,bother
share,view,received,message,mail,media,invite,click,sharing,stream,apply,lonely,simply,joined,msg,private,shuffle,secrets,stories,feedback
steelers,game,jets,packers,win,bears,football,fans,team,eagles,won,superbowl,patriots,beat,fan,nfl,pittsburgh,touchdown,colts,lions
sir,ian,mam,excuse,mr,francis,alex,arthur,hahahaha,um,excellent,umm,richard,hahahah,hahahahah,courtesy,holla,bobby,gangster,jessie
wat,idk,doin,wats,kno,dunno,happen,ppl,bout,hmmm,happened,hmm,thinkin,shud,rite,hmmmm,confused,ima,wonderin,doesnt
hahaha,hahahaha,lol,hahah,funny,hahahahaha,hahahah,hahahahah,:p,hahahahahaha, =),funn,joke,hehehe,hahahahahahaha,lolz,kidding,hehehehe,hacked,ahhhh
i'm,ready,bound,moon,clear,space,determined,heart's,june,ship,rocket,miles,joking,i'ma,eminem,steady,sincere,,,
soul,hey,mate,sister,mister,single,sold,move,ain't,devil,searching,fair,sell,mates,bodies,radio,lover,survivor,stereo,sista
johnny,cash,depp,jackass,register,flow,walker,cab,earl,becky,carter,chad,quest,definately,bff,cole,,,,
start,time,late,guess,ready,working,packing,suppose,planning,saving,preparing,practicing,scratch,focusing,revolution,manage,tackle,professional,procrastinate,cracking
paper,research,finished,final,presentation,project,thesis,finish,assignment,due,finishing,writing,report,draft,proposal,review,essay,english,papers,touches
paper,write,research,writing,page,due,papers,rock,piece,finish,english,finished,pages,scissors,term,sheet,beats,wrote,pg,throw
mama,baby,momma,papa,daddy,mia,babies,mommy,nana,daddy's,mamma,baby's,sissy,mam,johns,auntie,granny,baba,,
tyler,steven,aid,financial,seth,stand,kool,roommate,gay,hung,shot,texas,office,jumped,freshman,bullying,bridge,rite,backyard,wright
back,home,coming,comin,town,leavin,ct,lala,,,,,,,,,,,,
<3,xo,ily,diana,,,,,,,,,,,,,,,,
make,decisions,decision,choices,making,decide,choice,tough,regret,difficult,hardest,consequences,chances,relationships,deciding,promises,based,affect,choosing,options
face,book,eli,priceless,poker,punched,slapped,mask,expression,thrown,someones,kicked,slap,someone's,faces,spit,stuffing,facts,rub,signing
blood,pressure,eyes,veins,flesh,bleed,brain,skin,inside,body,dry,bones,runs,rise,bone,lips,drain,shoot,misunderstood,flowing
ass,kick,kicking,foot,kicked,kicks,kiss,kickin,dumb,asses,arse,bust,lame,laughing,names,handed,shove,bite,busted,kissing
az,meg,rt,van,ny,bb,ki,es,jo,mint,tt,ra,ut,ban,sem,mar,este,fog,aj,vid
rest,wicked,ain't,close,witch,slow,grow,aint,feed,trees,mouths,nothin,goo,bills,untill,permanent,teenage,troubles,elephant,figures
:/,http,watch,youtube,www,ref,feature,yearbook,relate, =p, =d,related,user,index,client,8d,,,,
mine,back,isn't,sadly,reading,stopped,borrow,elses,posting,else's,urs,everyones,claim,victory,letting,mistaken,someones,belongs,stole,mines
love,miss,mwah,lots,xo,hugs,xoxo,kisses,sweetheart,babes,babe,sweetie,hun,sending,darling,loads,thankyou,muah,awww,alll
computer,error,program,photoshop,server,properly,file,website,message,view,web,code,type,download,flash,install,software,microsoft,search,design
ipod,music,touch,songs,itunes,download,shuffle,downloading,suggestions,listening,gb,listen,playlist,library,downloaded,player,cds,deleted,headphones,cd
mary,jane,kay,bloody,charlotte,virgin,mama,lamb,hail,kate,joseph,emma,ann,beth,ellen,anne,dies,diary,elizabeth,feast
sunshine,rain,loving,walking,enjoying,useless,eternal,glorious,ray,walkin,rainbows,skies,bag,gray,brings,shadows,standing,grey,cloudy,anytime
ii,meh,mah,thee,tu,hatred,smh,sn,mee,hmu,dayy,skool,iii,tryna,wayy,todayy,boyz,upp,doe,lovee
code,cam,war,eagle,damn,free,auburn,extremely,web,bonus,bald,pack,source,area,iphone,sec,giant,link,eagles,desert
made,smile,people,life,set,status,i've,you've,click,laugh,regret,surprise,surprised,smiled,you'll,entire,meeting,button,impact,press
hanging,hang,fun,friends,tonight,bestie,bff,blast,hung,hangin,besties,fam,pool,mall,hangout,buddies,buds,bf,peeps,gang
state,ohio,michigan,university,florida,iowa,union,california,college,wisconsin,fair,texas,washington,indiana,northern,arizona,utah,southern,accepted,oklahoma
office,desk,hee,working,sitting,tee,raven,writing,space,chair,building,microsoft,eff,paperwork,reference,ribs,printer,aunts,classroom,meetings
ftw,wanting,fin,apparently,ahhhhhh,bring,enjoying,peeps,gots,dissapointed,sux,yikes,wierd,ohhh,yayy,flipping,rofl,soooooooo,messy,woohooo
lots,fun,stuff,laughs,fu,user,gots,goodies,excitement,booze,compliments,,,,,,,,,
waiting,hurry,patiently,waitin,arrive,sitting,happen,impatient,waited,waits,vain,anticipation,desperately,cal,,,,,,
concert,choir,band,orchestra,jazz,rehearsal,singing,chorus,performance,solo,hall,symphony,perform,audition,concerts,performing,auditions,festival,singers,district
head,wall,hit,clear,brick,bump,banging,thrown,hitting,throw,missed,threw,desk,recover,hits,smash,repeatedly,crystal,pillow,bangs
wow,time,damn,fm,ridiculous,impressed,gots,realised,hmmmmm,impressive,ridiculously,woah,actual,goddamn,sighs,>_<,enjoyable,babes,craziest,looong
hate,fact,guts,admit,liars,computers,equally,colds,goodbyes,absolutly,technology,lied,racist,mornings,forced,insomnia,obsession,hated,mentioned,despise
play,game,playing,wanna,basketball,sims,cod,lets,rules,role,played,games,playin,tennis,piano,pla,wii,pretending,uno,fame
opinion,opinions,logic,based,political,fact,moral,beliefs,philosophy,argument,logical,facts,society,simply,FALSE,values,statement,agree,ideas,behavior
time,spending,spend,consuming,waste,wasting,waits,crunch,gather,heals,waist,essence,wisely,,,,,,,
life,sucks,isn't,exciting,unfair,fair,isnt,finding,confusing,creating,lead,constantly,unpredictable,contemplating,hows,satisfying,u've,,,
early,bed,morning,tomorrow,work,bright,wake,heading,bedtime,release,rise,awake,goodnight,earl,healthy,morn,wayy,rested,ridiculously,
god,bless,trust,praise,america,serve,glory,worship,seek,painful,almighty,believes,spiritual,inspiration,kindly,philippines,,,,
hold,heart,son,week,lifetime,daughter,hand,sons,copy,beautiful,paste,daughters,wall,worth,describe,living,national,son's,daughter's,handsome
find,can't,confidence,bet,wipe,motivation,frustrated,tear,hiding,understands,remote,unable,nothings,excuse,wandering,specially,youll,motto,,
camera,pictures,photo,photos,digital,taking,photography,picture,shoot,video,pics,film,cameras,photographer,professional,developed,studio,mm,shots,capture
friend,TRUE,mess,care,broke,doesn't,past,filled,friendship,question,weigh,speaking,crazies,months,pick,drive,periods,conversations,re-post,repost
shes,girl,baby,she's,sister,cute,alexis,daughter,doesnt,she'll,girlfriend,chloe,niece,bff,kayla,adorable,hasnt,sleepin,shell,crawling
hip,hop,rap,eminem,drake,rapper,hooray,ft,beats,hurray,gangsta,album,jay,gangster,rhyme,rihanna,dope,cent,remix,listenin
back,finally,feels,waiting,headin,chilling,comming,roomie,tutor,,,,,,,,,,,
today,lot,stuff,thinking,usual,working,realized,exciting,starting,accomplished,yikes,missing,worked,geez,happening,including,learnt,stressing,specially,
happy,thanksgiving,turkey,thankful,feast,holiday,stuffing,stuffed,holidays,parade,oven,canadian,ham,coma,dinners,traditional,tradition,pies,indians,
tears,eyes,cry,tear,smile,pain,shed,crying,cried,wipe,dry,fears,hide,smiles,brought,cries,brings,laughter,cheeks,replace
freaking,freakin,omg,heck,hilarious,friggin,kidding,wtf,ugh,ridiculous,fricken,gosh,flippin,sooooo,retarded,frickin,dude,dang,sooo,wth
day,lazy,rainy,enjoying,productive,sundays,gloomy,relaxing,pjs,pj's,laziness,motivated,napping,housework,naps,pajamas,saturdays,allll,,
good,day,today,hope,feels,invisible,dash,surprisingly,impossible,sees,mia,,,,,,,,,
back,home,finaly,chilling,untill,strikes,,,,,,,,,,,,,,
makes,feel,difference,easier,sense,whiskey,corn,knowing,stronger,happier,powerful,facts,cope,puke,enjoyable,attitude,imagination,grief,worries,laughter
weather,cold,rain,rainy,sunny,windy,cloudy,warm,raining,forecast,wet,sun,gloomy,sunshine,freezing,degrees,wind,dark,fog,clouds
conversation,talking,talk,interesting,conversations,convo,random,awkward,talked,deep,argument,actual,talks,topic,skype,intelligent,texting,intellectual,arguing,pointless
things,aren't,happening,small,plan,accomplish,bigger,planned,act,strange,arent,holding,differently,smallest,letting,realizing,enter,smoothly,biggest,circle
listen,talk,don't,sit,hear,telling,speak,walk,advice,talking,shut,tells,spend,quit,stories,carefully,pretending,everytime,teaching,depending
hear,sound,voice,speak,light,faster,travels,bright,roar,sounds,listen,silence,quiet,heard,heartbeat,screaming,everytime,voices,carry,familiar
kids,play,taking,toys,blast,playing,kid,adults,park,kiddos,playground,bunch,babies,pool,thier,hubby,helping,zoo,picking,picked
double,du,triple,rainbow,trouble,freak,dose,workin,digits,standard,shift,standards,dutch,intense,feature,chin,overtime,stack,xp,threat
fine,alright,perfectly,everything's,line,print,everythings,mighty,it'll,pretending,pretend,fin,worried,arts,worrying,everybody's,helped,spots,emotional,whatsoever
burger,fries,mcdonalds,french,burgers,ate,order,cheese,eating,mcdonald's,double,subway,chicken,meal,hamburger,king,large,bacon,craving,kfc
hours,couple,days,weeks,ago,minutes,months,spend,happened,move,pieces,situation,seconds,floor,could've,beers,would've,perfection,should've,happend
leg,arm,knee,left,hurts,bruise,shoulder,muscle,bruises,sore,bruised,pulled,ouch,torn,huge,elbow,surgery,fell,foot,injured
girls,guys,guy,girl,boys,jerks,flirt,girlfriends,golden,boyfriends,assholes,attractive,prettiest,kissing,dating,dudes,chicks,confusing,jerk,hottest
jus,smh,wit,ppl,aint,bout,lmao,ima,dis,mad,sum,sm,gettin,dnt,rite,imma,tryna,needa,duh,skool
yay,tomorrow,weekend,woohoo,sniff,yippee,yipee,exciting,hooray,woohooo,disneyland,pumped,hurray,babysitting,:o),,,,,
head,feels,inside,explode,voices,spinning,thoughts,heads,voice,pounding,shaved,ache,brain,shaking,shakes,tells,shave,bald,heels,popped
san,diego,francisco,antonio,jose,juan,ca,california,downtown,tx,bay,austin,anne,fiesta,carlos,sd,classy,lucas,disneyland,cal
breath,breathe,deep,air,breathing,hold,holding,barely,takes,inside,catch,lungs,oxygen,chest,choose,breaths,calm,dying,deeply,bleeding
past,future,present,moment,live,express,dwell,gave,single,allowed,afraid,freedom,wasn't,concentrate,idiots,fallen,village,worry,gratitude,soldiers
love,TRUE,unconditional,lust,pure,unconditionally,affection,emotion,romantic,sight,sacrifice,love's,dies,lover,essence,waits,tender,eternal,experienced,definition
day,today,yesterday,hoping,productive,eventful,absent,needless,,,,,,,,,,,,
xa,don,ll,ve,:\,,,,,,,,,,,,,,,
great,awesome,yesterday,nelson,hung,thrilled,,,,,,,,,,,,,,
night,date,dinner,great,movie,hubby,wonderful,lunch,girls,prom,movies,romantic,enjoyed,fantastic,fabulous,takers,husband,drinks,sweetie,sushi
church,sunday,service,pastor,worship,christian,youth,praise,bible,prayer,gospel,choir,community,catholic,god's,services,leading,conference,priest,spiritual
break,spring,bones,sticks,stones,thanksgiving,chains,prison,sem,smell,perfectly,breaks,begins,brake,gimme,chain,repeatedly,rihanna,sting,
comment,ago,ll,8p,wave,balloon,os,snowball,pacific,traveling,travelling,,,,,,,,,
weird,strange,kinda,feels,odd,normal,hyper,mood,reason,acting,crazy,sounds,kind,o.o,dreams,hmm,hmmm,combination,random,noticed
bell,taco,tacos,burrito,mexican,ring,ate,tuesday,nachos,saved,rings,craving,mmmm,margaritas,rang,salad,bueno,del,bean,ringing
da,se,je,ne,na,mi,sam,ja,ti,su,pa,bi,te,si,po,ima,iz,ali,dan,ta
we'll,i'll,we're,end,stay,alright,forever,let's,won't,float,meet,it'll,they'll,we've,stick,he'll,lovers,eachother,i'ma,shortly
john,dear,lennon,paul,legend,edward,wayne,kennedy,imagine,terry,lewis,beatles,wooden,butler,denver,pipe,stewart,mil,alexander,dreamer
lay,world,die,words,forget,lie,young,bed,song,river,dawn,bury,rest,send,sink,roses,dying,sees,gather,moonlight
watching,disney,channel,movies,movie,watch,history,discovery,universal,favorite,classic,marathon,watchin,tangled,shows,films,film,hollywood,studio,cartoons
hill,silent,tree,beth,library,sledding,hills,moore,sang,ant,rolling,treatment,relate,forest,woods,carnival,cherry,plastic,lucas,pushed
didn't,eat,mom,parents,survived,kid,wasn't,played,telling,bike,water,raised,trouble,drank,exist,wii,online,hose,xbox,dare
