"","V1"
"1",57
"2",147
"3",170
"4",9
"5",170
"6",57
"7",57
"8",170
"9",170
"10",134
"11",166
"12",57
"13",170
"14",170
"15",14
"16",170
"17",170
"18",57
"19",77
"20",57
"21",106
"22",170
"23",57
"24",57
"25",170
"26",57
"27",57
"28",147
"29",57
"30",57
"31",57
"32",57
"33",57
"34",30
"35",170
"36",8
"37",190
"38",57
"39",57
"40",170
"41",170
"42",97
"43",57
"44",57
"45",170
"46",57
"47",57
"48",170
"49",106
"50",66
"51",170
"52",170
"53",7
"54",108
"55",30
"56",184
"57",57
"58",57
"59",57
"60",57
"61",170
"62",57
"63",57
"64",57
"65",57
"66",189
"67",91
"68",170
"69",57
"70",57
"71",9
"72",57
"73",151
"74",57
"75",57
"76",95
"77",57
"78",57
"79",170
"80",57
"81",94
"82",159
"83",178
"84",57
"85",57
"86",184
"87",170
"88",57
"89",170
"90",57
"91",10
"92",170
"93",170
"94",57
"95",79
"96",57
"97",106
"98",159
"99",57
"100",57
