25,taylor,14868,swift,4599,elizabeth,2898,gang,2484,kanye,663,rip,601,beyonce,543,liz,530,corey,458,album,317,cd,223,obsessed,200,jonathan,146,samuel,139,christine,115,erin,86,lucy,75,roomie,64,lawrence,61,fifteen,54
26,friends,13022,cousins,8710,family,6024,crazy,4770,understand,2456,talk,1775,haven't,1108,childhood,1050,talked,1031,cousin,1004,older,892,grow,802,re-post,675,repost,671,daily,437,remain,238,siblings,202,they'll,153,haven,152,regular,143
27,mexico,5249,el,3066,ay,2097,viva,2085,te,1986,del,1486,amo,1222,mexican,540,mar,492,argentina,402,ii,370,spanish,354,mucho,350,fiesta,286,amigos,253,spain,229,pit,213,chile,200,france,112,brazil,108
28,xbox,10477,ps,7939,play,5819,playing,5123,live,3529,games,2984,cod,1914,online,1318,wii,1156,playin,1089,add,1012,pc,512,gaming,512,fifa,492,tag,392,halo,391,microsoft,344,sports,325,sony,229,slim,216
29,ta,7179,ma,2607,li,1754,il,1647,min,674,te,542,bo,535,pa,500,cu,440,imma,438,mal,303,su,292,nan,198,tin,192,den,165,ra,159,par,152,bi,151,chin,150,dar,146
30,pretty,28275,good,10534,darn,3306,liars,2443,damn,2196,intense,956,dang,676,stoked,604,decent,493,legit,329,yep,321,impressive,309,pumped,306,admit,269,bummed,268,witty,231,sounding,180,entertaining,124,pity,69,sucky,30
31,block,10307,party,2198,writers,1352,blocks,563,blog,448,blocked,352,inspiration,211,cock,175,frustrating,170,blocking,164,halfway,123,grrrrr,105,writer,73,pointed,65,impress,64,switching,50,experiencing,47,fooled,23,,,,
32,bunch,5179,ing,4142,jen,1939,lovely,1317,ot,504,screwed,488,row,433,suddenly,347,bs,340,standing,330,heck,278,changing,269,idiots,228,mu,223,generation,207,cast,176,ku,155,base,153,production,149,curse,144
33,angel,12695,devil,6346,angels,5735,heaven,3180,hell,2364,demons,1569,demon,1394,wings,1158,satan,845,sin,702,devils,651,fallen,587,shoulder,517,separate,413,convinced,396,depth,363,disguise,358,gods,358,powers,342,height,341
34,finds,3369,annoying,2168,extremely,2132,interesting,1917,thinks,1535,slightly,1453,amusing,1351,depressing,1220,incredibly,1169,entertaining,1087,odd,1028,confusing,956,kind,945,frustrating,820,fact,743,disappointing,741,disturbing,721,ridiculous,648,oddly,590,attractive,582
35,job,22155,interview,19323,luck,5241,nervous,1441,interviews,1188,thursday,808,position,455,applied,357,hired,265,orientation,258,internship,247,offer,225,scheduled,213,manager,180,target,153,offered,138,promising,119,hire,113,mock,103,telephone,66
36,good,18608,day,12888,morning,10285,hope,8266,great,6611,begining,12,optimistic,10,,,,,,,,,,,,,,,,,,,,,,,,,,
37,rock,21539,rocks,4855,hard,3045,socks,2078,climbing,1629,sock,1005,rockin,909,rocked,903,classic,746,star,609,kid,564,rocking,529,cafe,522,punk,496,roll,384,solid,374,style,320,boat,243,tube,240,stage,219
38,uni,6917,london,4405,offer,1760,university,1192,centre,966,manchester,725,sorted,627,offers,490,flat,441,fancy,433,uk,409,bloody,360,gig,326,brilliant,297,bk,260,liverpool,258,realised,246,fab,245,travelling,227,placement,226
39,dinner,9916,making,4374,beef,3634,cooking,3159,pot,3083,roast,2942,yummy,2932,spaghetti,2482,chili,2032,homemade,1194,stew,1156,lasagna,1117,cook,1116,chicken,1049,smells,997,yum,909,delicious,898,mmmm,805,supper,804,turkey,672
40,feel,26204,makes,14468,make,5216,doesn't,1650,grow,1521,alive,873,inside,851,uncomfortable,808,absence,731,comfortable,720,distance,507,touching,337,numb,291,helps,283,growing,195,discovery,123,capture,95,connected,70,wander,39,losers,34
41,na,4217,si,2779,je,1357,tak,1240,se,1211,mi,1185,po,1168,ale,1069,ve,619,ja,555,bo,485,mam,470,som,439,pr,410,wi,365,ty,317,bu,315,pi,268,mu,246,ch,241
42,change,39452,world,4410,changing,3606,plans,1965,constant,1204,seasons,1074,ways,1040,attitude,633,somethings,493,growth,418,subject,407,nothing's,367,pace,314,direction,309,constantly,279,lifestyle,267,progress,265,circumstances,246,remains,235,adjust,231
43,thinks,2266,compare,2078,hitler,1812,german,1739,apparently,1545,idea,1054,germany,692,jewish,606,nazi,578,picked,497,nun,459,sort,452,compared,419,actual,413,banned,393,killed,388,style,317,agrees,286,btw,281,compete,226
44,rest,13305,day,12872,life,12448,spend,8534,entire,2763,spending,811,everyday,399,eternity,188,amazed,178,haunt,50,interest,46,confuse,40,,,,,,,,,,,,,,,,
45,bill,9430,ted,1932,excellent,1580,kill,1474,gates,1254,kennedy,744,bailey,672,murray,505,clinton,460,adventure,366,gate,339,electric,324,science,299,dollar,190,electricity,181,passing,155,talks,129,scrubs,112,microsoft,98,topped,97
46,helping,4310,ill,4115,needed,3956,proper,3953,won't,3189,guts,2773,eating,2577,equipment,2358,treatment,2294,elderly,2044,homeless,1950,millions,1898,countries,1845,mentally,1819,donate,1806,promised,1672,troops,1603,re-post,1544,medicines,1417,benefits,1386
