want,friends,take,better,phone,still,going,great,eyes,cold,bed,simply,everything,family,next,long,things,game,way,week
good,tomorrow,god,go,great,come,see,want,think,week,way,watching,going,still,anyone,got,days,phone,friends,work
hours,first,facebook,ive,eyes,alive,trip,making,made,thank,color,free,help,getting,really,white,nothing,p,d,look
make,keep,everyone,use,bit,three,seen,wonder,heart,looks,living,enough,last,shows,place,feel,men,light,head,fun
good,tomorrow,go,god,great,come,want,really,going,way,still,look,watching,friends,got,made,ive,think,see,getting
